#project_accession: PXD016999
#project_title: A Quantitative Proteome Map of the Human Body
#project_description: In this study, we quantified the relative protein levels from 12,627 genes across 32 normal human tissue types prepared by the GTEx project. Known and new tissue specific or enriched proteins were identified and compared to transcriptome data. Many ubiquitous transcripts are found to encode highly tissue specific proteins. Discordance in the sites of RNA expression and protein detection also revealed potential sites of synthesis and action of protein signaling molecules. Overall, these results provide an extraordinary resource, and demonstrate that understanding protein levels can provide insights into metabolism, regulation, secretome, and human diseases.
#quantms_version: 1.2.0
#factor_value: organism part
#INFO=<ID=protein, Number=inf, Type=String, Description="Protein Accession">
#INFO=<ID=sample_accession, Number=1, Type=String, Description="Sample Accession in the SDRF">
#INFO=<ID=condition, Number=1, Type=String, Description="Value of the factor value">
#INFO=<ID=ibaq, Number=1, Type=Float, Description="Intensity based absolute quantification">
#INFO=<ID=ribaq, Number=1, Type=Float, Description="relative iBAQ">
protein	sample_accession	condition	ibaq	ribaq
P11177	PXD016999-Sample-01	Norm	134978.81103563204	7.011210580144526
P13667	PXD016999-Sample-01	Norm	133285.1005170804	7.00572658565746
P26447	PXD016999-Sample-01	Norm	132783.2584694032	7.004088303740927
P30101	PXD016999-Sample-01	Norm	131967.53323040062	7.001412080649638
P27824	PXD016999-Sample-01	Norm	131331.60655166383	6.999314238744688
P46781	PXD016999-Sample-01	Norm	130615.7501510792	6.99694053081745
P48643	PXD016999-Sample-01	Norm	130509.85844399194	6.99658830043426
P00488	PXD016999-Sample-01	Norm	129738.15457117092	6.994012697938448
P60660	PXD016999-Sample-01	Norm	127294.6640936523	6.985755181202716
P18206	PXD016999-Sample-01	Norm	127262.2812421802	6.985644685739628
P22626	PXD016999-Sample-01	Norm	122949.07845095004	6.970670259704891
P18077	PXD016999-Sample-01	Norm	122050.06963684676	6.96748301336074
O75915	PXD016999-Sample-01	Norm	121181.18160083584	6.964380164671076
P48047	PXD016999-Sample-01	Norm	119693.96182184674	6.959017224005782
P04844	PXD016999-Sample-01	Norm	119543.92180568165	6.958472481186288
P61160	PXD016999-Sample-01	Norm	117072.87536423226	6.949401266776216
Q15233	PXD016999-Sample-01	Norm	113451.75324257306	6.935756193520019
P68133	PXD016999-Sample-01	Norm	112544.42227638772	6.932268957966841
P32969	PXD016999-Sample-01	Norm	112135.87347192364	6.930689552115254
Q9H0U4	PXD016999-Sample-01	Norm	112058.55355108732	6.930389994122331
Q96C23	PXD016999-Sample-01	Norm	111608.53254390437	6.9286423797790535
P30084	PXD016999-Sample-01	Norm	111215.85367460396	6.927111681586323
P55084	PXD016999-Sample-01	Norm	107798.99322034458	6.913559686629322
P11021	PXD016999-Sample-01	Norm	106945.87521926648	6.910109020803041
Q9BRF8	PXD016999-Sample-01	Norm	103931.9208295446	6.897693935639545
P51149	PXD016999-Sample-01	Norm	103368.50522942528	6.895333217976839
P62820	PXD016999-Sample-01	Norm	102232.17525242516	6.8905325834413205
Q9UQ80	PXD016999-Sample-01	Norm	100010.64199287322	6.880991196945299
P31942	PXD016999-Sample-01	Norm	99765.13651628114	6.879923782985205
Q08257	PXD016999-Sample-01	Norm	98551.30548305456	6.874607363454147
A0A0C4DH34	PXD016999-Sample-01	Norm	97636.86420298555	6.870558804577176
P62266	PXD016999-Sample-01	Norm	97250.77745304296	6.868838063713696
Q01469	PXD016999-Sample-01	Norm	94487.74484763276	6.856320465561899
P47756	PXD016999-Sample-01	Norm	90939.18263737432	6.8396960282583965
P15880	PXD016999-Sample-01	Norm	89011.47640127754	6.830390986398837
Q9Y490	PXD016999-Sample-01	Norm	88560.6431120588	6.828185743470009
P02790	PXD016999-Sample-01	Norm	87938.30335680497	6.825123064093123
Q04837	PXD016999-Sample-01	Norm	87564.70468153678	6.823274069138442
P05388	PXD016999-Sample-01	Norm	87302.06016946236	6.821969474201068
P61254	PXD016999-Sample-01	Norm	86397.60131155305	6.817446666985056
P05387	PXD016999-Sample-01	Norm	84872.0475693235	6.8097096616334944
P00387	PXD016999-Sample-01	Norm	84368.17850093023	6.807123654658088
P51911	PXD016999-Sample-01	Norm	84007.38541074882	6.805262450046779
Q03252	PXD016999-Sample-01	Norm	84002.61565612501	6.805237791060998
P01860	PXD016999-Sample-01	Norm	83751.63209034584	6.803938260820055
P23381	PXD016999-Sample-01	Norm	80677.46457499065	6.787697223137235
P52272	PXD016999-Sample-01	Norm	80309.2482446366	6.785710542417028
P61019	PXD016999-Sample-01	Norm	80143.28807961037	6.784812138300263
Q9H8H3	PXD016999-Sample-01	Norm	79924.69578634556	6.783625973728521
P01024	PXD016999-Sample-01	Norm	79429.85704380843	6.780928762732538
Q00577	PXD016999-Sample-01	Norm	77833.18110184548	6.772109762576835
Q9Y266	PXD016999-Sample-01	Norm	77781.76362402344	6.77182276793447
P51665	PXD016999-Sample-01	Norm	77285.92091687486	6.769045368037457
Q07666	PXD016999-Sample-01	Norm	74880.01014463455	6.7553108763841845
Q9NYF8	PXD016999-Sample-01	Norm	73972.48291277715	6.750015178012317
P35555	PXD016999-Sample-01	Norm	73337.063875024	6.746268500361765
Q9Y333	PXD016999-Sample-01	Norm	72770.23226470714	6.742898742901524
P14314	PXD016999-Sample-01	Norm	71771.44973599628	6.7368967005998535
P61247	PXD016999-Sample-01	Norm	71563.95209117532	6.735639298116517
O75494	PXD016999-Sample-01	Norm	71285.79285227272	6.733947966077039
Q9H1E3	PXD016999-Sample-01	Norm	69428.77555785123	6.722484487946533
P22087	PXD016999-Sample-01	Norm	68707.4321060284	6.717948699197188
P23246	PXD016999-Sample-01	Norm	68588.15800542569	6.71719412147601
Q13185	PXD016999-Sample-01	Norm	68524.43172405822	6.716790424420947
Q9Y3I0	PXD016999-Sample-01	Norm	66667.41765533536	6.704858614986834
P02753	PXD016999-Sample-01	Norm	66493.99559464536	6.7037274121144526
P09960	PXD016999-Sample-01	Norm	65854.14891988237	6.699528123244187
P35609	PXD016999-Sample-01	Norm	65798.80017694073	6.699162956262043
P21266	PXD016999-Sample-01	Norm	63549.62605995112	6.684057981229351
P28066	PXD016999-Sample-01	Norm	63356.64015374916	6.682737120073233
P13489	PXD016999-Sample-01	Norm	63345.47992850352	6.682660612683296
Q07507	PXD016999-Sample-01	Norm	62772.32034874649	6.678713164251417
Q9UII2	PXD016999-Sample-01	Norm	62529.901586434746	6.677032726977275
Q9UGI8	PXD016999-Sample-01	Norm	62509.85501795909	6.676893473440942
P62241	PXD016999-Sample-01	Norm	62092.60241976151	6.673984844156603
P62834	PXD016999-Sample-01	Norm	61847.374463278415	6.672266249559976
P04083	PXD016999-Sample-01	Norm	61624.51851486603	6.670698520882302
A0A075B6R2	PXD016999-Sample-01	Norm	60586.77834158212	6.663322841629926
P07108	PXD016999-Sample-01	Norm	60437.1140652794	6.662248699967849
P36578	PXD016999-Sample-01	Norm	60071.943197526125	6.659616662478956
P22352	PXD016999-Sample-01	Norm	59994.43561448792	6.659055953967082
P51888	PXD016999-Sample-01	Norm	59896.23176616559	6.65834448242558
P46779	PXD016999-Sample-01	Norm	59888.250757482056	6.658286610020683
P62081	PXD016999-Sample-01	Norm	59511.91133037119	6.655548880441339
P38646	PXD016999-Sample-01	Norm	59369.20708181775	6.654506230468213
P27695	PXD016999-Sample-01	Norm	59014.01639595043	6.651900154822604
P07910	PXD016999-Sample-01	Norm	58885.21943392576	6.650951279594517
P20618	PXD016999-Sample-01	Norm	58802.7549033269	6.650342655023403
Q8NC51	PXD016999-Sample-01	Norm	58757.39928195918	6.650007546632347
Q13126	PXD016999-Sample-01	Norm	58632.613389587525	6.649084233930429
P13533	PXD016999-Sample-01	Norm	57521.8299318592	6.640777675545117
Q02978	PXD016999-Sample-01	Norm	57390.75725173505	6.639786936970899
P15531	PXD016999-Sample-01	Norm	57370.88640352954	6.639636541777213
P62316	PXD016999-Sample-01	Norm	56985.94284679942	6.636712719998149
P01780	PXD016999-Sample-01	Norm	56852.52914891138	6.635694771350137
P50454	PXD016999-Sample-01	Norm	56756.77756052322	6.634962711670851
P12956	PXD016999-Sample-01	Norm	56629.923741800616	6.633990958619883
P62244	PXD016999-Sample-01	Norm	56273.20257255927	6.63124661387141
Q1KMD3	PXD016999-Sample-01	Norm	55986.64546788648	6.629029428621582
P21796	PXD016999-Sample-01	Norm	55766.446261411314	6.627317951604253
P12004	PXD016999-Sample-01	Norm	55755.72077396615	6.627234416282956
P21397	PXD016999-Sample-01	Norm	55387.1922216488	6.624354331553378
Q14764	PXD016999-Sample-01	Norm	55219.88020695943	6.623040441969975
P25788	PXD016999-Sample-01	Norm	54587.55897446384	6.618038655942563
P49721	PXD016999-Sample-01	Norm	54174.63616489377	6.614740985110489
O00299	PXD016999-Sample-01	Norm	53220.134457128224	6.607020949249414
P67812	PXD016999-Sample-01	Norm	53199.758117002646	6.606854639512164
Q16851	PXD016999-Sample-01	Norm	52810.52896827018	6.603665499368484
P62906	PXD016999-Sample-01	Norm	52779.41635344357	6.603409565201899
Q99714	PXD016999-Sample-01	Norm	52660.23230705137	6.602427752451542
P62263	PXD016999-Sample-01	Norm	52452.22963999431	6.600708935733449
P07954	PXD016999-Sample-01	Norm	51959.52527119967	6.596610156299136
P33121	PXD016999-Sample-01	Norm	51610.2420861084	6.593680878019119
P48444	PXD016999-Sample-01	Norm	51197.68827411898	6.590195333564653
Q13011	PXD016999-Sample-01	Norm	51053.88654186123	6.588973790716176
P24539	PXD016999-Sample-01	Norm	50575.41086084906	6.584884401363687
P61020	PXD016999-Sample-01	Norm	50385.04256612298	6.583246611613259
P61026	PXD016999-Sample-01	Norm	49708.36817411279	6.577374488174002
P31946	PXD016999-Sample-01	Norm	49524.14138367702	6.575761936586172
P54578	PXD016999-Sample-01	Norm	49376.66776747411	6.574466759615192
P35222	PXD016999-Sample-01	Norm	48545.379211699415	6.56709287973996
O43396	PXD016999-Sample-01	Norm	48526.54308025018	6.566924336089885
P14866	PXD016999-Sample-01	Norm	48456.47610497597	6.566296809616173
P11216	PXD016999-Sample-01	Norm	48129.03467731479	6.563352132949138
Q14247	PXD016999-Sample-01	Norm	47991.88139687652	6.562112757468197
P49748	PXD016999-Sample-01	Norm	47953.865460060326	6.561768602297416
Q15436	PXD016999-Sample-01	Norm	47733.40213705479	6.559767371068478
Q9HC38	PXD016999-Sample-01	Norm	47506.542647923125	6.55769840702496
P52907	PXD016999-Sample-01	Norm	47458.94656740693	6.557263075895094
O75436	PXD016999-Sample-01	Norm	47296.84265649891	6.555777131801138
P36969	PXD016999-Sample-01	Norm	46930.1878318374	6.552397274238445
P18669	PXD016999-Sample-01	Norm	46749.55852915912	6.550722495864542
P49368	PXD016999-Sample-01	Norm	46732.42365920848	6.5505632870121655
O75083	PXD016999-Sample-01	Norm	46531.27912113523	6.5486899730477575
Q16134	PXD016999-Sample-01	Norm	46384.8425862716	6.547321068910875
P19237	PXD016999-Sample-01	Norm	46333.8492608559	6.546843363248001
P46940	PXD016999-Sample-01	Norm	46033.58166873134	6.544019748551739
P78371	PXD016999-Sample-01	Norm	45749.78104259405	6.5413340017005295
Q9Y2X3	PXD016999-Sample-01	Norm	44775.25749576767	6.531983073907007
O15511	PXD016999-Sample-01	Norm	44679.015691950764	6.531048578572943
P52566	PXD016999-Sample-01	Norm	44510.868464588384	6.5294110498285445
P00505	PXD016999-Sample-01	Norm	44317.50745626097	6.527520308256403
P34932	PXD016999-Sample-01	Norm	43583.09094682839	6.520263009322676
P43490	PXD016999-Sample-01	Norm	43487.66837400784	6.519311105061378
Q96G03	PXD016999-Sample-01	Norm	43242.47492562429	6.516855524077064
Q969H8	PXD016999-Sample-01	Norm	43219.033099478766	6.516620028392968
P35268	PXD016999-Sample-01	Norm	42906.5734094868	6.513468814252434
Q16531	PXD016999-Sample-01	Norm	41893.44784019576	6.503091086182364
Q9Y623	PXD016999-Sample-01	Norm	41772.11860118754	6.501831484217698
Q02878	PXD016999-Sample-01	Norm	41224.74025260939	6.496102909754358
O43491	PXD016999-Sample-01	Norm	40892.85038914618	6.492592365423782
P07900	PXD016999-Sample-01	Norm	40375.87525884368	6.487066931792635
P02766	PXD016999-Sample-01	Norm	40265.42772124808	6.485877298581421
P28331	PXD016999-Sample-01	Norm	40154.680376985154	6.484681155177975
Q99536	PXD016999-Sample-01	Norm	39809.06237639077	6.4809269305748485
P30153	PXD016999-Sample-01	Norm	39760.86466319452	6.480400802068256
P49189	PXD016999-Sample-01	Norm	39664.89874883535	6.479351331832209
P08559	PXD016999-Sample-01	Norm	39595.71345889496	6.478593154562461
P05455	PXD016999-Sample-01	Norm	39444.78892336901	6.476934618226078
P21281	PXD016999-Sample-01	Norm	39431.55942612031	6.476788934562279
P61619	PXD016999-Sample-01	Norm	39343.079176663145	6.47581332868359
P49257	PXD016999-Sample-01	Norm	39166.223867026056	6.473856683750745
P37802	PXD016999-Sample-01	Norm	38988.90430586919	6.471886012321251
P22314	PXD016999-Sample-01	Norm	38819.42557187471	6.46999408646985
O75947	PXD016999-Sample-01	Norm	38649.01953748675	6.468083462868816
P17987	PXD016999-Sample-01	Norm	37918.63829944928	6.459797714763864
O15144	PXD016999-Sample-01	Norm	37861.36145211116	6.459141208467791
Q9UL46	PXD016999-Sample-01	Norm	37837.83156571742	6.45887122143775
P36871	PXD016999-Sample-01	Norm	37819.2954090282	6.458658415293801
Q9H3P7	PXD016999-Sample-01	Norm	37540.59239035088	6.455446103320593
P24752	PXD016999-Sample-01	Norm	37287.293735447885	6.452505845778231
P35221	PXD016999-Sample-01	Norm	37278.23200574735	6.452400288707837
P27635	PXD016999-Sample-01	Norm	36924.68757090928	6.448261811140979
Q9Y3B3	PXD016999-Sample-01	Norm	36012.02252378659	6.437392494919403
P42765	PXD016999-Sample-01	Norm	36008.149685925964	6.437345787113459
O14818	PXD016999-Sample-01	Norm	35720.0504456196	6.43385704536561
Q16181	PXD016999-Sample-01	Norm	35151.520333521	6.426889095188891
P30085	PXD016999-Sample-01	Norm	34778.14452215995	6.422251389693623
Q7KZF4	PXD016999-Sample-01	Norm	34711.85569672946	6.4214228135031455
Q9NRX4	PXD016999-Sample-01	Norm	34641.24855660749	6.420538518495373
Q13813	PXD016999-Sample-01	Norm	34623.09442238294	6.420310861950638
P55884	PXD016999-Sample-01	Norm	34459.85105553732	6.418258377798608
Q86UP2	PXD016999-Sample-01	Norm	34401.74726244714	6.417525482736001
P60842	PXD016999-Sample-01	Norm	34141.58605439718	6.414228674303316
Q9NR31	PXD016999-Sample-01	Norm	34028.90023901361	6.412792895418802
Q12906	PXD016999-Sample-01	Norm	33858.41588888563	6.410611617018606
P39019	PXD016999-Sample-01	Norm	33786.47294494938	6.409687838862345
Q04446	PXD016999-Sample-01	Norm	33714.3911144335	6.408760302494505
Q9UNF0	PXD016999-Sample-01	Norm	33254.910789492824	6.402800768938365
P50990	PXD016999-Sample-01	Norm	33136.993318609326	6.401258082026144
P28074	PXD016999-Sample-01	Norm	32982.77030113314	6.3992321120809965
O43852	PXD016999-Sample-01	Norm	32671.77647420132	6.395117730983372
P35237	PXD016999-Sample-01	Norm	32502.168254036034	6.392857316006282
Q15149	PXD016999-Sample-01	Norm	32260.242232778088	6.389612605872712
P25685	PXD016999-Sample-01	Norm	32081.635931507404	6.387201487872302
Q02952	PXD016999-Sample-01	Norm	32053.402551212235	6.386819119595932
P23588	PXD016999-Sample-01	Norm	31915.971738163054	6.384953053646681
Q13228	PXD016999-Sample-01	Norm	31610.00204152952	6.380769505705004
P26196	PXD016999-Sample-01	Norm	31596.88233795337	6.380589214744452
P52209	PXD016999-Sample-01	Norm	31423.60100104224	6.378200933534854
P47813	PXD016999-Sample-01	Norm	31373.32824829661	6.377505575209765
O60506	PXD016999-Sample-01	Norm	30977.721985448698	6.371994459619184
P62750	PXD016999-Sample-01	Norm	30648.089486927183	6.367348388855454
P11586	PXD016999-Sample-01	Norm	30567.047894434407	6.366198479258186
P13861	PXD016999-Sample-01	Norm	30329.9389594104	6.362816518087715
P31939	PXD016999-Sample-01	Norm	30325.899317944208	6.362758670597678
P61978	PXD016999-Sample-01	Norm	29447.96155881565	6.350000219330235
Q9Y2Z0	PXD016999-Sample-01	Norm	29137.680907096703	6.3453999647573625
Q02543	PXD016999-Sample-01	Norm	29087.830816124133	6.344656317373913
P61163	PXD016999-Sample-01	Norm	29080.85154945793	6.344552101259945
Q13148	PXD016999-Sample-01	Norm	28719.34821438781	6.339119561185319
Q9BWS9	PXD016999-Sample-01	Norm	28622.04735920492	6.337645677802268
O75874	PXD016999-Sample-01	Norm	28494.458937438023	6.335705396672074
P53007	PXD016999-Sample-01	Norm	28332.48169060465	6.333229598600717
Q5SSJ5	PXD016999-Sample-01	Norm	28275.84416757322	6.332360561350245
P08621	PXD016999-Sample-01	Norm	28251.73466709091	6.331990100634549
P17980	PXD016999-Sample-01	Norm	28091.781726931527	6.329524267106951
P61981	PXD016999-Sample-01	Norm	28071.994425553832	6.329218250783108
Q9BVC6	PXD016999-Sample-01	Norm	27596.92029617423	6.321805601091754
P23142	PXD016999-Sample-01	Norm	27535.543807874383	6.320838639733066
P43686	PXD016999-Sample-01	Norm	27535.20873540999	6.320833354890727
Q16576	PXD016999-Sample-01	Norm	27458.55524598737	6.319622664564264
